ID,MonthlyIncome
871,5909.601096
872,2183.331473
873,14281.78882
874,2244.670056
875,1926.211833
876,7100.877792
877,5670.889544
878,2025.391324
879,1948.387541
880,14953.43942
881,11193.42706
882,2443.095048
883,6127.359579
884,6042.919886
885,6535.049469
886,5991.396854
887,5827.706009
888,6239.097508
889,6036.871954
890,2207.556268
891,5985.348923
892,9595.088265
893,9660.921587
894,6006.929783
895,11051.21812
896,9972.208193
897,10111.04608
898,14126.09604
899,5974.409687
900,2419.993938
901,2419.993938
902,6618.365477
903,6442.71104
904,2691.721104
905,14869.92513
906,5930.058272
907,10719.80489
908,6112.223215
909,2102.064553
910,2215.851569
911,18286.03183
912,2503.309946
913,2487.9753
914,10001.95208
915,6262.198618
916,5798.689239
917,2231.384498
918,5952.035697
919,2077.839758
920,2932.977262
921,2207.357985
922,2048.294151
923,6267.717713
924,6354.404775
925,15019.76826
926,2268.167731
927,5961.32241
928,10152.52233
929,1985.831884
930,2315.09707
931,6330.774828
932,9820.910823
933,9851.580115
934,2336.479648
935,2169.847632
936,2297.11849
937,10568.30924
938,10528.94808
939,6320.033874
940,2185.182278
941,3044.913474
942,9903.103146
943,10586.78334
944,6006.7315
945,2009.858396
946,6082.479326
947,2123.843695
948,1894.022292
949,2446.366773
950,5835.075908
951,2509.027323
952,5729.980758
953,6323.537201
954,2373.990001
955,6179.080893
956,9978.454408
957,11896.14351
958,1976.809462
959,10563.08738
960,19260.87201
961,2039.99885
962,5708.201615
963,6465.217302
964,6294.388159
965,2131.610159
966,18436.4038
967,1832.881992
968,10257.74976
969,15355.61021
970,2137.327536
971,5802.258576
972,6080.628522
973,2367.347222
974,2215.851569
975,5844.693177
976,2098.891781
977,6965.11335
978,2037.75148
979,9723.0533
980,18556.23874
981,2021.29315
982,10354.5496
983,2419.993938
984,2426.438435
985,6261.074933
986,2449.737827
987,2185.182278
988,6073.78746
989,10217.13264
990,2108.707332
991,6498.133963
992,2124.24026
993,6142.165387
994,6195.142658
995,5959.802161
996,6279.450079
997,2093.372686
998,14865.92628
999,9896.658649
1000,1787.605174
1001,6776.503909
1002,6164.473367
1003,6173.760081
1004,6974.003499
1005,2251.7094
1006,6391.518563
1007,2148.06849
1008,6092.592113
1009,18292.67461
1010,6376.580483
1011,10610.94212
1012,6609.673611
1013,6105.051599
1014,6074.184025
1015,6038.821712
1016,2172.59052
1017,2330.629999
1018,9911.795013
1019,10106.84895
1020,2086.531624
1021,6045.563821
1022,6346.440028
1023,5949.98661
1024,11051.94524
1025,14184.06357
1026,18162.9581
1027,6467.068107
1028,5983.828673
1029,6111.826651
1030,10863.53408
1031,6006.7315
1032,2330.629999
1033,9662.045272
1034,2215.851569
1035,6074.184025
1036,2017.62486
1037,5654.232931
1038,10344.73405
1039,9946.661431
1040,6159.449791
1041,1885.528708
1042,2435.328584
1043,10001.55552
1044,6431.871134
1045,2016.89774
1046,2215.851569
1047,6090.24579
1048,9865.989358
1049,2024.862487
1050,6011.325192
1051,11347.36836
1052,2009.527841
1053,6186.649074
1054,2312.651418
1055,2419.993938
1056,2404.659293
1057,6278.458666
1058,14039.60726
1059,6633.369568
1060,2299.564142
1061,6272.609017
1062,6223.961145
1063,6392.113411
1064,2139.376623
1065,6565.917043
1066,2244.670056
1067,3371.733009
1068,18587.89945
1069,5937.824736
1070,2192.02334
1071,2334.430561
1072,5939.74155
1073,1856.710221
1074,5898.860143
1075,6125.112209
1076,14662.18048
1077,18263.129
1078,6138.59605
1079,6098.210537
1080,6612.416498
1081,2555.956663
1082,2359.580758
1083,2093.174404
1084,6348.356843
1085,9454.003011
1086,10168.98066
1087,6096.690287
1088,2480.208836
1089,2313.775103
1090,5899.587263
1091,5786.923931
1092,6013.242007
1093,9698.233658
1094,6027.783523
1095,5916.045593
1096,6233.776696
1097,3183.123568
1098,2327.986064
1099,2254.882172
1100,5930.653119
1101,17878.34194
1102,6218.442051
1103,6437.919065
1104,11639.75099
1105,2539.498332
1106,2493.494395
1107,2078.632888
1108,6429.954319
1109,5633.577474
1110,5776.910097
1111,6241.014323
1112,10304.15026
1113,9976.801885
1114,6806.247798
1115,10262.40946
1116,2296.39137
1117,6896.008303
1118,6249.309625
1119,10922.6253
1120,2131.081322
1121,10538.86259
1122,15091.25295
1123,6128.879828
1124,14314.5072
1125,1992.474663
1126,2215.851569
1127,2343.32071
1128,6088.196703
1129,14555.3668
1130,2252.238238
1131,10054.00395
1132,14439.13413
1133,6414.619673
1134,2223.816316
1135,2464.147071
1136,2375.113686
1137,2984.896858
1138,6128.879828
1139,9935.49097
1140,13390.66122
1141,5731.302725
1142,6322.611799
1143,10901.04444
1144,5960.727563
1145,6701.879767
1146,6062.848224
1147,6050.68635
1148,2253.361923
1149,2231.384498
1150,6121.311647
1151,2147.143087
1152,6399.086745
1153,6758.194774
1154,2047.170467
1155,6004.550141
1156,14712.91038
1157,2367.347222
1158,6874.95628
1159,2222.692631
1160,6209.551902
1161,2297.316773
1162,10273.0844
1163,2002.157942
1164,10288.61733
1165,2208.878235
1166,1979.387387
1167,10193.43668
1168,5868.917971
1169,2298.440457
1170,1963.523904
